order_id,user_id,order_date,product_id,qty,unit_price,region
o000098,u132,2024-01-11,p0030,4,30000,Seoul
o000099,u029,2024-05-01,p0028,4,5000,Seoul
o000100,u080,2024-05-25,p0056,5,15000,Daegu
o000101,u148,2024-06-25,p0042,1,5000,Daegu
o000102,u112,2024-06-17,p0048,4,12000,Incheon
o000103,u007,2024-01-22,p0047,4,5000,Seoul
o000104,u124,2024-05-20,p0017,1,12000,
o000105,u025,2024-06-02,p0074,5,20000,Daegu
o000106,u113,2024-05-07,p0046,4,15000,Daegu
o000107,u094,2024-05-29,p0058,2,9000,Seoul
o000108,u044,2024-06-01,p0071,3,12000,Gwangju
o000109,u064,2024-03-22,p0074,3,12000,Daegu
o000110,u018,2024-01-08,p0054,5,20000,Busan
o000111,u149,2024-03-24,p0063,5,9000,Busan
o000112,u036,2024-02-06,p0038,5,5000,Busan
o000113,u047,2024-01-21,p0060,4,15000,Seoul
o000114,u076,2024-01-23,p0026,1,20000,Gwangju
o000115,u101,2024-05-06,p0057,5,12000,Gwangju
o000116,u076,2024-04-01,p0007,1,9000,Gwangju
o000117,u076,2024-04-08,p0074,1,5000,Busan
o000118,u088,2024-05-15,p0020,1,30000,Daegu
o000119,u129,2024-04-09,p0053,5,20000,Daegu
o000120,u060,2024-04-24,p0001,3,5000,Daegu
o000121,u125,2024-01-16,p0013,2,5000,Daegu
o000122,u119,2024-06-03,p0079,1,5000,Daegu
o000123,u145,2024-03-22,p0067,3,12000,Incheon
o000124,u137,2024-01-29,p0018,4,20000,Seoul
o000125,u120,2024-05-28,p0011,5,5000,Seoul
o000126,u038,2024-05-13,p0066,3,20000,Gwangju
o000127,u117,2024-01-10,p0080,4,5000,Gwangju
o000128,u111,2024-02-05,p0014,5,20000,Gwangju
o000129,u044,2024-01-03,p0054,5,9000,Busan
o000130,u102,2024-02-19,p0023,2,30000,Daegu
o000131,u038,2024-01-19,p0060,5,12000,Seoul
o000132,u079,2024-05-09,p0034,3,9000,Busan
o000133,u120,2024-04-05,p0011,5,9000,Incheon
o000134,u029,2024-06-27,p0026,1,20000,Busan
o000135,u051,2024-05-16,p0044,1,12000,Daegu
o000136,u120,2024-04-21,p0064,5,12000,Seoul
o000137,u069,2024-04-02,p0002,4,20000,Daegu
o000138,u145,2024-01-10,p0077,1,15000,Incheon
o000139,u002,2024-01-13,p0052,5,15000,Daegu
o000140,u109,2024-04-22,p0071,1,12000,Daegu
o000141,u123,2024-01-01,p0075,4,5000,Gwangju
o000142,u138,2024-01-08,p0013,2,5000,Busan
o000143,u024,2024-02-09,p0008,1,5000,Busan
o000144,u148,2024-06-09,p0063,5,15000,Incheon
o000145,u059,2024-03-24,p0016,5,15000,Daegu
o000146,u053,2024-05-09,p0012,1,20000,Gwangju
o000147,u054,2024-03-15,p0038,1,30000,Seoul
o000148,u096,2024-02-01,p0074,4,9000,Seoul
o000149,u099,2024-03-08,p0064,1,30000,Busan
o000150,u072,2024-01-17,p0042,4,30000,Daegu
o000151,u011,2024-05-20,p0016,5,15000,Gwangju
o000152,u148,2024-02-03,p0027,4,15000,Daegu
o000153,u034,2024-03-09,p0056,2,9000,Daegu
o000154,u015,2024-06-27,p0013,1,9000,Seoul
o000155,u090,2024-04-17,p0042,4,5000,Daegu
o000156,u062,2024-03-24,p0001,1,15000,Daegu
o000157,u093,2024-04-08,p0027,3,12000,Daegu
o000158,u132,2024-05-22,p0020,3,9000,Incheon
o000159,u015,2024-02-16,p0055,4,5000,Daegu
o000160,u043,2024-04-25,p0074,2,5000,Seoul
o000161,u078,2024-06-07,p0012,4,15000,Seoul
o000162,u119,2024-04-14,p0064,4,20000,Seoul
o000163,u091,2024-03-22,p0053,2,15000,Incheon
o000164,u058,2024-01-27,p0078,2,5000,Gwangju
o000165,u092,2024-02-15,p0073,1,5000,Gwangju
o000166,u147,2024-06-21,p0009,3,5000,Busan
o000167,u073,2024-04-08,p0060,2,20000,Seoul
o000168,u133,2024-02-24,p0048,1,20000,Incheon
o000169,u117,2024-03-17,p0010,3,9000,Seoul
o000170,u046,2024-04-15,p0021,3,5000,Incheon
o000171,u038,2024-04-07,p0075,1,9000,Busan
o000172,u116,2024-05-07,p0044,1,20000,Gwangju
o000173,u032,2024-02-16,p0028,1,5000,Incheon
o000174,u051,2024-04-28,p0026,4,20000,Incheon
o000175,u036,2024-03-21,p0068,2,12000,Daegu
o000176,u091,2024-06-20,p0023,1,5000,Gwangju
o000177,u045,2024-01-29,p0013,1,30000,Daegu
o000178,u099,2024-01-28,p0046,5,15000,Incheon
o000179,u141,2024-03-25,p0080,2,20000,Busan
o000180,u125,2024-04-02,p0015,4,5000,Daegu
o000181,u143,2024-05-05,p0021,3,12000,Gwangju
o000182,u004,2024-03-14,p0038,1,15000,Busan
o000183,u069,2024-06-15,p0016,2,15000,Seoul
o000184,u034,2024-03-27,p0053,1,5000,Busan
o000185,u138,2024-01-24,p0021,4,15000,Busan
o000186,u107,2024-01-22,p0011,2,30000,Daegu
o000187,u049,2024-06-26,p0021,3,20000,Seoul
o000188,u085,2024-01-25,p0075,1,9000,Seoul
o000189,u091,2024-06-21,p0075,5,30000,Busan
o000190,u075,2024-02-20,p0041,2,20000,Daegu
o000191,u072,2024-01-18,p0033,3,5000,Seoul
o000192,u009,2024-02-25,p0066,5,5000,Busan
o000193,u068,2024-04-21,p0016,4,30000,Busan
o000194,u053,2024-03-18,p0053,4,9000,Seoul
o000195,u123,2024-05-22,p0055,5,5000,Busan
o000196,u130,2024-04-21,p0057,1,12000,Busan
o000197,u113,2024-03-13,p0018,5,15000,Seoul
o000198,u005,2024-04-25,p0058,3,15000,Incheon
o000199,u127,2024-06-25,p0049,3,15000,Seoul
o000200,u060,2024-03-15,p0071,2,30000,Daegu
o000201,u063,2024-01-28,p0014,4,20000,Incheon
o000202,u142,2024-03-15,p0050,5,5000,Gwangju
o000203,u131,2024-06-01,p0067,4,5000,Daegu
o000204,u008,2024-02-09,p0023,1,5000,Daegu
o000205,u054,2024-06-21,p0060,3,12000,Incheon
o000206,u113,2024-04-17,p0008,4,12000,Gwangju
o000207,u081,2024-04-19,p0058,2,30000,Busan
o000208,u039,2024-02-27,p0049,4,12000,Incheon
o000209,u079,2024-06-16,p0016,4,5000,Daegu
o000210,u130,2024-01-07,p0006,1,30000,Seoul
o000211,u034,2024-02-24,p0060,3,9000,Incheon
o000212,u112,2024-03-17,p0020,1,30000,Gwangju
o000213,u111,2024-03-27,p0040,3,20000,Seoul
o000214,u133,2024-03-27,p0005,2,30000,Seoul
o000215,u045,2024-01-27,p0078,5,20000,Gwangju
o000216,u033,2024-02-11,p0044,5,5000,Daegu
o000217,u083,2024-01-18,p0075,3,15000,Busan
o000218,u080,2024-04-14,p0013,3,12000,Incheon
o000219,u062,2024-03-04,p0017,4,15000,Busan
o000220,u117,2024-04-12,p0049,4,20000,Busan
o000221,u120,2024-04-17,p0049,4,15000,Busan
o000222,u037,2024-05-07,p0064,4,9000,Daegu
o000223,u120,2024-04-09,p0075,5,30000,Seoul
o000224,u035,2024-04-27,p0066,5,15000,Busan
o000225,u062,2024-04-16,p0012,1,30000,Busan
o000226,u005,2024-04-28,p0025,3,9000,Seoul
o000227,u052,2024-04-22,p0074,3,30000,Incheon
o000228,u144,2024-02-27,p0044,3,9000,Seoul
o000229,u067,2024-02-14,p0070,3,12000,Gwangju
o000230,u107,2024-05-23,p0046,4,30000,Seoul
o000231,u017,2024-03-03,p0004,3,12000,Busan
o000232,u096,2024-04-09,p0038,2,9000,Seoul
o000233,u056,2024-02-05,p0066,3,30000,Busan
o000234,u112,2024-03-19,p0053,5,30000,Incheon
o000235,u140,2024-04-06,p0011,2,9000,Seoul
o000236,u080,2024-04-23,p0017,1,9000,Daegu
o000237,u016,2024-04-05,p0069,5,9000,Incheon
o000238,u072,2024-03-06,p0079,1,5000,Daegu
o000239,u019,2024-06-24,p0061,4,15000,Seoul
o000240,u068,2024-04-03,p0008,5,9000,Incheon
o000241,u010,2024-05-27,p0050,2,30000,Seoul
o000242,u097,2024-05-14,p0067,2,9000,Seoul
o000243,u047,2024-04-11,p0052,2,15000,Daegu
o000244,u031,2024-06-10,p0048,1,15000,Busan
o000245,u003,2024-01-24,p0038,1,15000,Seoul
o000246,u134,2024-06-16,p0020,1,5000,Incheon
o000247,u126,2024-06-03,p0023,3,12000,Daegu
o000248,u122,2024-04-01,p0060,3,15000,Gwangju
o000249,u009,2024-05-13,p0006,1,12000,Daegu
o000250,u053,2024-04-04,p0007,5,30000,Daegu
o000251,u146,2024-02-18,p0032,4,15000,Gwangju
o000252,u087,2024-05-25,p0062,1,12000,Seoul
o000253,u020,2024-02-14,p0053,5,5000,Busan
o000254,u022,2024-02-27,p0048,1,9000,Incheon
o000255,u040,2024-04-04,p0043,3,12000,Busan
o000256,u146,2024-06-01,p0009,3,12000,Gwangju
o000257,u026,2024-03-10,p0027,3,30000,Busan
o000258,u136,2024-03-30,p0007,5,20000,Daegu
o000259,u102,2024-01-08,p0061,5,5000,Gwangju
o000260,u139,2024-01-22,p0061,2,15000,Busan
o000261,u124,2024-01-11,p0021,3,12000,Gwangju
o000262,u050,2024-01-14,p0024,5,5000,Seoul
o000263,u125,2024-06-07,p0026,4,15000,Busan
o000264,u026,2024-06-02,p0072,5,15000,Daegu
o000265,u044,2024-05-29,p0040,3,5000,Daegu
o000266,u032,2024-01-11,p0061,2,12000,Gwangju
o000267,u020,2024-01-15,p0036,3,20000,Gwangju
o000268,u014,2024-02-21,p0056,5,9000,Incheon
o000269,u029,2024-04-12,p0043,5,12000,Incheon
o000270,u019,2024-03-01,p0023,4,5000,Busan
o000271,u058,2024-03-29,p0071,4,9000,Gwangju
o000272,u011,2024-02-01,p0057,3,30000,Incheon
o000273,u010,2024-05-13,p0062,2,15000,Seoul
o000274,u149,2024-02-27,p0076,3,9000,Gwangju
o000275,u014,2024-01-13,p0020,3,12000,Busan
o000276,u012,2024-05-15,p0008,5,9000,Daegu
o000277,u005,2024-06-13,p0047,3,12000,Daegu
o000278,u020,2024-01-03,p0027,4,5000,Gwangju
o000279,u080,2024-03-20,p0035,1,15000,Busan
o000280,u125,2024-05-30,p0019,4,15000,Busan
o000281,u111,2024-05-08,p0032,3,15000,Seoul
o000282,u088,2024-06-04,p0032,5,12000,Busan
o000283,u013,2024-03-16,p0029,3,9000,Seoul
o000284,u117,2024-03-08,p0060,3,9000,Daegu
o000285,u006,2024-05-09,p0048,1,9000,Gwangju
o000286,u095,2024-01-28,p0038,5,12000,Daegu
o000287,u062,2024-02-13,p0010,4,12000,Gwangju
o000288,u133,2024-04-19,p0046,5,20000,Gwangju
o000289,u047,2024-05-01,p0015,1,5000,Seoul
o000290,u096,2024-01-22,p0026,2,9000,Daegu
o000291,u066,2024-04-02,p0034,5,30000,Daegu
o000292,u079,2024-03-07,p0012,1,30000,Busan
o000293,u141,2024-04-01,p0032,3,30000,Gwangju
o000294,u107,2024-06-23,p0022,3,9000,Busan
o000295,u063,2024-01-14,p0068,5,5000,Seoul
o000296,u068,2024-06-30,p0069,5,9000,Daegu
o000297,u106,2024-03-22,p0001,5,5000,Busan
o000298,u052,2024-05-20,p0049,2,30000,Busan
o000299,u026,2024-03-18,p0052,3,30000,Daegu
o000300,u071,2024-02-26,p0031,4,20000,Incheon
o000301,u011,2024-05-20,p0038,5,20000,Busan
o000302,u026,2024-05-05,p0064,1,12000,Busan
o000303,u064,2024-01-27,p0031,5,12000,Seoul
o000304,u120,2024-05-08,p0006,2,30000,Busan
o000305,u118,2024-05-17,p0030,1,20000,Daegu
o000306,u040,2024-03-11,p0021,4,15000,Incheon
o000307,u064,2024-06-17,p0031,4,30000,Busan
o000308,u024,2024-04-26,p0019,1,12000,Seoul
o000309,u114,2024-03-01,p0012,1,12000,Daegu
o000310,u037,2024-01-02,p0079,5,30000,Incheon
o000311,u120,2024-05-02,p0011,5,12000,Seoul
o000312,u127,2024-02-08,p0057,1,20000,Daegu
o000313,u104,2024-05-17,p0058,5,12000,Seoul
o000314,u050,2024-04-05,p0050,5,9000,Daegu
o000315,u143,2024-03-25,p0073,5,9000,Incheon
o000316,u103,2024-01-30,p0001,2,15000,Incheon
o000317,u097,2024-05-09,p0025,3,12000,Incheon
o000318,u129,2024-01-31,p0015,5,12000,Incheon
o000319,u133,2024-03-17,p0047,5,20000,Busan
o000320,u012,2024-06-01,p0051,4,5000,Gwangju
o000321,u133,2024-06-16,p0072,1,5000,Busan
o000322,u115,2024-06-29,p0031,1,30000,Busan
o000323,u031,2024-06-23,p0019,2,15000,Incheon
o000324,u047,2024-04-11,p0074,1,15000,Busan
o000325,u113,2024-02-06,p0054,1,5000,Seoul
o000326,u033,2024-06-01,p0062,1,15000,Incheon
o000327,u068,2024-05-25,p0036,4,12000,Incheon
o000328,u104,2024-06-29,p0036,3,15000,Daegu
o000329,u098,2024-04-28,p0032,3,5000,Seoul
o000330,u137,2024-01-26,p0060,5,15000,Incheon
o000331,u017,2024-04-01,p0017,3,15000,Seoul
o000332,u045,2024-03-22,p0079,3,9000,Daegu
o000333,u148,2024-06-02,p0015,2,5000,Daegu
o000334,u086,2024-03-12,p0037,3,30000,Incheon
o000335,u038,2024-02-29,p0026,1,20000,Gwangju
o000336,u044,2024-01-15,p0052,3,15000,Seoul
o000337,u051,2024-06-01,p0055,5,20000,Seoul
o000338,u084,2024-05-17,p0074,3,20000,Daegu
o000339,u043,2024-01-08,p0064,2,5000,Gwangju
o000340,u094,2024-03-19,p0020,4,12000,Seoul
o000341,u067,2024-03-28,p0017,5,30000,Daegu
o000342,u092,2024-03-26,p0071,3,9000,Daegu
o000343,u024,2024-06-16,p0040,2,30000,Busan
o000344,u094,2024-01-28,p0008,4,5000,Incheon
o000345,u139,2024-02-25,p0066,1,9000,Busan
o000346,u021,2024-02-02,p0052,5,12000,Daegu
o000347,u050,2024-02-14,p0003,2,15000,Gwangju
o000348,u105,2024-06-14,p0063,2,9000,Busan
o000349,u093,2024-06-20,p0049,4,9000,Seoul
o000350,u102,2024-01-09,p0050,1,15000,Gwangju
o000351,u084,2024-04-25,p0070,2,9000,Busan
o000352,u103,2024-02-12,p0040,1,30000,Incheon
o000353,u092,2024-02-05,p0037,2,30000,Incheon
o000354,u012,2024-02-23,p0050,3,9000,Daegu
o000355,u113,2024-02-05,p0016,1,15000,Seoul
o000356,u068,2024-03-30,p0013,2,9000,Gwangju
o000357,u008,2024-06-30,p0068,4,12000,Incheon
o000358,u062,2024-04-16,p0018,5,20000,Daegu
o000359,u066,2024-05-11,p0041,1,9000,Gwangju
o000360,u014,2024-03-30,p0022,4,5000,Incheon
o000361,u150,2024-01-03,p0019,1,9000,Incheon
o000362,u034,2024-01-16,p0048,3,30000,Seoul
o000363,u050,2024-02-18,p0065,5,9000,Incheon
o000364,u067,2024-02-14,p0036,4,12000,Busan
o000365,u125,2024-06-01,p0012,2,15000,Seoul
o000366,u112,2024-06-02,p0020,2,5000,Busan
o000367,u116,2024-06-04,p0014,4,9000,Seoul
o000368,u036,2024-04-26,p0071,5,9000,Seoul
o000369,u127,2024-04-11,p0026,2,30000,Incheon
o000370,u125,2024-04-28,p0030,1,30000,Daegu
o000371,u070,2024-03-15,p0006,3,20000,Busan
o000372,u082,2024-05-01,p0036,4,9000,Seoul
o000373,u006,2024-05-24,p0074,3,15000,Incheon
o000374,u115,2024-05-18,p0033,5,15000,Incheon
o000375,u145,2024-04-21,p0053,5,30000,Daegu
o000376,u071,2024-01-11,p0015,4,5000,Seoul
o000377,u082,2024-05-11,p0012,1,20000,Seoul
o000378,u075,2024-03-07,p0059,5,9000,Seoul
o000379,u013,2024-05-15,p0006,4,15000,Seoul
o000380,u093,2024-04-08,p0036,2,30000,Gwangju
o000381,u109,2024-06-09,p0026,3,5000,Busan
o000382,u140,2024-03-02,p0002,5,5000,Incheon
o000383,u140,2024-06-18,p0043,5,20000,Gwangju
o000384,u074,2024-06-02,p0078,3,5000,Gwangju
o000385,u144,2024-03-01,p0006,1,20000,Busan
o000386,u080,2024-03-28,p0066,4,15000,Daegu
o000387,u097,2024-04-06,p0044,4,12000,Daegu
o000388,u091,2024-05-19,p0058,1,30000,Seoul
o000389,u150,2024-05-05,p0008,5,30000,Incheon
o000390,u111,2024-06-04,p0070,2,9000,Daegu
o000391,u019,2024-03-08,p0001,5,5000,Busan
o000392,u011,2024-04-01,p0073,3,5000,Daegu
o000393,u062,2024-03-19,p0053,2,5000,Incheon
o000394,u078,2024-06-14,p0027,1,30000,Seoul
o000395,u101,2024-02-25,p0001,1,15000,Incheon
o000396,u073,2024-04-16,p0049,4,20000,Gwangju
o000397,u078,2024-01-22,p0007,2,9000,Incheon
o000398,u139,2024-06-03,p0049,5,30000,Incheon
o000399,u051,2024-03-10,p0062,2,20000,Seoul
o000400,u075,2024-03-02,p0022,5,20000,Incheon
o000401,u084,2024-04-16,p0020,5,12000,Incheon
o000402,u071,2024-03-31,p0018,1,20000,Daegu
o000403,u146,2024-06-03,p0018,4,15000,Daegu
o000404,u145,2024-04-06,p0010,5,12000,Incheon
o000405,u077,2024-04-04,p0020,2,15000,Seoul
o000406,u068,2024-01-20,p0053,1,9000,Busan
o000407,u089,2024-01-04,p0025,5,30000,Incheon
o000408,u028,2024-03-13,p0063,3,20000,Gwangju
o000409,u064,2024-06-30,p0066,1,20000,Busan
o000410,u033,2024-06-15,p0061,5,20000,Daegu
o000411,u022,2024-04-24,p0044,4,12000,Gwangju
o000412,u015,2024-04-24,p0026,1,30000,Seoul
o000413,u089,2024-03-12,p0075,2,9000,Busan
o000414,u001,2024-02-02,p0017,1,15000,Seoul
o000415,u097,2024-01-02,p0038,5,5000,Busan
o000416,u065,2024-03-02,p0037,1,9000,Incheon
o000417,u055,2024-02-27,p0060,4,15000,Busan
o000418,u116,2024-02-04,p0044,3,12000,Gwangju
o000419,u081,2024-02-17,p0064,3,30000,Gwangju
o000420,u111,2024-01-05,p0074,5,15000,Gwangju
o000421,u107,2024-04-20,p0032,5,12000,Incheon
o000422,u005,2024-06-17,p0070,1,12000,Incheon
o000423,u033,2024-05-05,p0014,1,15000,Daegu
o000424,u086,2024-03-22,p0074,1,20000,Gwangju
o000425,u147,2024-03-17,p0015,4,9000,Seoul
o000426,u024,2024-02-25,p0069,3,15000,Incheon
o000427,u016,2024-01-26,p0032,1,15000,Seoul
o000428,u142,2024-04-18,p0078,2,5000,Busan
o000429,u146,2024-04-13,p0011,3,30000,Busan
o000430,u026,2024-01-02,p0038,4,15000,Incheon
o000431,u061,2024-03-16,p0073,2,9000,Incheon
o000432,u094,2024-02-20,p0004,5,15000,Seoul
o000433,u030,2024-01-31,p0022,5,20000,Incheon
o000434,u049,2024-05-07,p0007,4,30000,Busan
o000435,u060,2024-04-05,p0026,3,5000,Seoul
o000436,u097,2024-04-25,p0032,5,12000,Daegu
o000437,u047,2024-05-09,p0050,4,9000,Daegu
o000438,u062,2024-06-27,p0021,3,15000,Busan
o000439,u044,2024-05-26,p0013,3,15000,Busan
o000440,u114,2024-04-22,p0014,5,12000,Gwangju
o000441,u023,2024-06-08,p0076,3,30000,Busan
o000442,u035,2024-03-27,p0077,1,15000,Gwangju
o000443,u038,2024-06-28,p0018,5,12000,Gwangju
o000444,u136,2024-05-18,p0016,1,5000,Busan
o000445,u142,2024-04-28,p0005,4,9000,Daegu
o000446,u076,2024-06-13,p0077,4,30000,Incheon
o000447,u024,2024-04-03,p0057,3,12000,Daegu
o000448,u114,2024-05-11,p0061,1,30000,Daegu
o000449,u074,2024-02-21,p0024,3,15000,Busan
o000450,u128,2024-06-24,p0052,5,15000,Seoul
o000451,u054,2024-04-23,p0005,2,12000,Seoul
o000452,u150,2024-05-22,p0055,4,15000,Busan
o000453,u122,2024-03-24,p0047,5,5000,Incheon
o000454,u034,2024-06-06,p0027,5,5000,Busan
o000455,u109,2024-01-14,p0057,3,12000,Seoul
o000456,u044,2024-01-21,p0052,2,15000,Busan
o000457,u053,2024-04-02,p0036,4,15000,Daegu
o000458,u038,2024-05-13,p0015,3,12000,Busan
o000459,u103,2024-05-27,p0002,4,9000,Busan
o000460,u040,2024-03-21,p0076,4,20000,Seoul
o000461,u096,2024-04-28,p0023,4,15000,Busan
o000462,u088,2024-04-10,p0025,2,5000,Busan
o000463,u113,2024-06-23,p0055,4,12000,Gwangju
o000464,u150,2024-04-29,p0021,3,20000,Gwangju
o000465,u002,2024-03-16,p0031,5,20000,Busan
o000466,u149,2024-06-25,p0057,4,9000,Seoul
o000467,u017,2024-01-20,p0048,5,30000,Seoul
o000468,u080,2024-06-28,p0053,5,15000,Busan
o000469,u052,2024-01-29,p0001,5,12000,Daegu
o000470,u096,2024-02-22,p0037,4,15000,Daegu
o000471,u109,2024-05-29,p0039,3,30000,Busan
o000472,u129,2024-05-13,p0051,1,9000,Busan
o000473,u061,2024-06-25,p0013,2,5000,Busan
o000474,u140,2024-05-16,p0013,3,12000,Daegu
o000475,u049,2024-04-25,p0061,4,5000,Incheon
o000476,u031,2024-03-04,p0054,3,30000,Seoul
o000477,u057,2024-01-01,p0065,3,30000,Daegu
o000478,u080,2024-01-23,p0022,1,15000,Incheon
o000479,u101,2024-02-24,p0080,4,30000,Incheon
o000480,u125,2024-01-08,p0022,3,5000,Daegu
o000481,u034,2024-04-02,p0053,1,15000,Daegu
o000482,u046,2024-05-21,p0013,2,12000,Incheon
o000483,u141,2024-06-24,p0074,5,9000,Busan
o000484,u066,2024-03-30,p0027,1,9000,Daegu
o000485,u037,2024-06-08,p0065,3,15000,Busan
o000486,u148,2024-06-28,p0027,3,15000,Daegu
o000487,u068,2024-06-05,p0064,1,5000,Seoul
o000488,u148,2024-03-25,p0037,1,15000,Busan
o000489,u138,2024-02-29,p0005,5,30000,Seoul
o000490,u136,2024-06-26,p0016,3,5000,Busan
o000491,u088,2024-02-14,p0055,2,30000,Daegu
o000492,u120,2024-03-15,p0016,1,15000,Daegu
o000493,u145,2024-01-14,p0023,3,12000,Gwangju
o000494,u041,2024-05-24,p0044,4,20000,Seoul
o000495,u006,2024-04-28,p0021,4,15000,Gwangju
o000496,u049,2024-01-16,p0011,1,20000,Busan
o000497,u096,2024-02-10,p0050,4,5000,Incheon
o000498,u083,2024-04-11,p0056,5,5000,Incheon
o000499,u013,2024-04-08,p0059,2,15000,Gwangju
